"","Region","State","Year","Deaths","Population","Crude.Rate","Age.Adjusted.Rate"
"1","Midwest","Illinois",2002,1145,12525556,9.14,9.140803451
"2","Midwest","Illinois",2003,1011,12556006,8.05,8.026325072
"3","Midwest","Illinois",2001,1139,12488445,9.12,9.163457532
"4","Midwest","Illinois",2000,1003,12419293,8.08,8.128935306
"5","Midwest","Illinois",2006,1010,12643955,7.99,7.90816852
"6","Midwest","Illinois",2004,1028,12589773,8.17,8.111938237
"7","Midwest","Illinois",2005,1086,12609903,8.61,8.557665192
"8","Midwest","Illinois",2007,1108,12695866,8.73,8.627584667
"9","Midwest","Illinois",1999,1020,12359020,8.25,8.304321788
"10","Midwest","Indiana",2006,824,6332669,13.01,12.97262719
"11","Midwest","Indiana",2007,790,6379599,12.38,12.32521311
"12","Midwest","Indiana",2002,743,6155967,12.07,12.08859683
"13","Midwest","Indiana",2000,683,6080485,11.23,11.25985697
"14","Midwest","Indiana",2005,745,6278616,11.87,11.81943079
"15","Midwest","Indiana",2003,736,6196638,11.88,11.88740788
"16","Midwest","Indiana",2001,715,6127760,11.67,11.69030876
"17","Midwest","Indiana",2004,704,6233007,11.29,11.3181215
"18","Midwest","Indiana",1999,628,6044970,10.39,10.40563604
"19","Midwest","Iowa",2007,322,2999212,10.74,10.64239586
"20","Midwest","Iowa",1999,305,2917634,10.45,10.31530843
"21","Midwest","Iowa",2001,304,2931997,10.37,10.22225743
"22","Midwest","Iowa",2000,289,2926324,9.88,9.831904692
"23","Midwest","Iowa",2006,334,2982644,11.2,11.18645933
"24","Midwest","Iowa",2005,333,2964454,11.23,11.16013509
"25","Midwest","Iowa",2004,343,2953635,11.61,11.51773178
"26","Midwest","Iowa",2002,314,2934234,10.7,10.65176572
"27","Midwest","Iowa",2003,352,2941999,11.96,11.81032583
"28","Midwest","Kansas",2001,293,2702162,10.84,10.95873739
"29","Midwest","Kansas",1999,299,2678338,11.16,11.25702909
"30","Midwest","Kansas",2000,325,2688418,12.09,12.19461717
